Method,Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
nlml_vecchia_fullMF,Corr,20,409.03106418783,18.811798844878,284.644750936165,0.184095129161399,0.513994394084923,0.0165884422140545,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,Corr,30,403.289479862445,16.0759637566019,275.897417373672,0.125121234959507,0.293811357845484,0.014652036208875,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,Corr,40,403.27115202955,14.6770639370402,277.259661527443,0.116476182979756,0.181226351904942,0.00978687829662701,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,Corr,60,401.90471580099,13.5305602113218,275.673292796042,0.0798481820208699,0.0889544629777576,0.0154524811652114,NaN,5,12349,1.34524294559349
nlml_vecchia_fullMF,MinMax,10,420.454574029086,35.9982016676418,290.305367795914,0.409957200165093,5.04374567726278,0.0368049334887842,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,MinMax,20,407.726385931358,21.0656087900572,279.781584478042,0.337773910898487,3.36633944301371,0.000780008690470493,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,MinMax,30,400.141362251769,6.49154717222473,279.185598736697,0.232598806194375,1.72920769928424,0.00290852929484934,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,MinMax,40,398.422658745377,1.66921744447041,280.570521451668,0.191328361320772,1.18750633400546,0.00203762349000768,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,MinMax,60,396.959757166827,-5.09415864427103,284.408094383308,0.121492940982784,0.427763581435281,0.0157432417441795,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,Corr,10,402.063132752873,18.4150567275708,271.105630183559,0.353674586070305,3.06859794625795,0.0317655611917474,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,Corr,20,398.30406504223,2.23526122079284,279.767290269051,0.234093592076694,1.25109109567712,0.000831059439253038,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,Corr,30,395.989524383523,-3.19339115756679,280.566861329996,0.170275671755014,0.641280367046017,0.00202455162628411,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,Corr,40,395.099037705727,-5.74046642929392,281.332963246132,0.128824301194617,0.355162612753648,0.00476063002619545,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,Corr,60,393.856304898911,-7.59781819510272,280.704849398309,0.0826470041365744,0.146522796701477,0.00251736617902522,NaN,6,12350,1.21497453866201
nlml_vecchia_fullMF,MinMax,10,392.625980206838,-6.56134097293585,277.207722791994,0.382805282581089,0.881137951266244,0.00997238087291581,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,MinMax,20,382.882466428591,-26.7475036383954,277.90685790096,0.311166176192806,0.515455286642307,0.0074754696743161,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,MinMax,30,380.00390025253,-41.8116651350819,287.213887045524,0.244538926011417,0.242560293783684,0.0257639213943566,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,MinMax,40,375.781461042005,-46.3870407913224,283.344384280715,0.202337631726903,0.159675022850421,0.0119442681362671,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,MinMax,60,370.260906617917,-51.1378218553704,277.054056496587,0.135036033812285,0.0736121932112512,0.0105211890917114,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,Corr,10,380.045025725438,-34.2231129721889,279.707585828447,0.332315830157343,0.380030798780294,0.00104429825964581,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,Corr,20,375.67659214037,-46.5499593583463,283.297565044469,0.239303457749643,0.156723669654008,0.0117770565718731,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,Corr,30,372.09721438179,-51.4420107074635,281.030860876426,0.161810912029944,0.0681016565220451,0.00368168423465829,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,Corr,40,373.23089016968,-52.9445883434389,284.800790088182,0.107276141013958,0.0408816938756523,0.01714571764686,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,Corr,60,370.98182900105,-54.250817082486,281.608896489969,0.0670113316630631,0.0172186919560032,0.00574609721883812,NaN,7,12351,0.987382855884739
nlml_vecchia_fullMF,MinMax,10,380.621100822669,-39.2100593256228,285.846682376345,0.348264381227021,0.490324487713755,0.0208810168810218,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,MinMax,20,377.34869411523,-53.281323631427,293.37313326727,0.269734549299323,0.307417882446535,0.0477611988553457,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,MinMax,30,366.327692506381,-64.8821639288743,282.931970347019,0.202251859196533,0.156623307706156,0.010471330976409,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,MinMax,40,362.055758931673,-68.9332865477229,278.439225816452,0.159345364388515,0.103964422929952,0.00557418533611944,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,MinMax,60,359.215786666053,-73.6395642329218,277.46555897041,0.104307268257918,0.0427894456047435,0.00905156695771801,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,Corr,10,368.507491065689,-58.0909966093867,280.500400146148,0.284135937751403,0.244898912030977,0.00178715161617883,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,Corr,20,364.98063082575,-68.9767898474912,284.332472904374,0.180045847993183,0.103398941342398,0.0154731258652312,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,Corr,30,361.775695183098,-73.7382755600007,282.684087331579,0.118404581768733,0.0415063374671198,0.00958603448541632,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,Corr,40,360.229583880893,-75.1608618150353,281.014450982205,0.0952447712568131,0.0230147210101076,0.00362304747433431,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,Corr,60,359.281700487655,-76.22792191087,280.185744291564,0.0567045143096658,0.00914444357777068,0.000663380697711081,NaN,8,12352,1.0291339278067
nlml_vecchia_fullMF,MinMax,10,416.190168755035,30.9757054252377,286.799053490215,0.384642965305466,3.21270422818255,0.0242826358352048,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,MinMax,20,405.486905433737,13.7731864474309,282.595045825427,0.30100406135072,1.98386743641184,0.00926831832070363,NaN,9,12353,1.04189424566654
nlml_vecchia_fullMF,MinMax,30,398.278229547198,-0.763543433172572,282.714423932951,0.208409603441567,0.94545739121068,0.0096946688303997,NaN,9,12353,1.04189424566654
