Conditioning,m,NLML,logdetK,quad,relErr_alpha,relErr_logdet,relErr_quad,RMSE,Rep,Seed,ExactRMSE
Corr,30,383.934352706127,-36.5228069181692,289.785933735806,0.193654102216285,0.0149359934911705,0.034949821071661,1.06935643697264,15,12359,1.03476147269347
Corr,40,381.338838405587,-37.7707176929678,285.842815909526,0.137858654335244,0.0187216602138944,0.020867256620849,1.13798909103307,15,12359,1.03476147269347
Corr,60,379.217850022803,-38.0039140617171,281.834035512706,0.086900519667705,0.0250112466035216,0.00655018297645851,1.02696344281452,15,12359,1.03476147269347
MinMax,10,419.468723823516,33.5663453628687,290.765523689547,0.268613104530206,0.543208109566587,0.0384484831403938,0.943003241295885,16,12360,0.922454493575754
MinMax,20,417.209005009995,28.1904062740048,291.622025151369,0.219152783642519,0.296050049647199,0.0415074174753534,0.920540909817795,16,12360,0.922454493575754
MinMax,30,413.052259297915,25.1530124559241,286.345927545289,0.155604755957441,0.15640628678481,0.0226642083960534,0.915521502138821,16,12360,0.922454493575754
MinMax,40,412.583818690845,24.0065101461474,286.555548640927,0.128593484868696,0.103696000843422,0.0234128552990187,0.922873327908984,16,12360,0.922454493575754
MinMax,60,408.777306801336,21.675100770111,281.273934237943,0.0809826335779202,0.00349022443443965,0.00454994337013863,0.932824977752738,16,12360,0.922454493575754
Corr,10,429.957453813132,50.0008463195188,295.308482712128,0.429328179380865,1.29878202977769,0.0546733396712007,0.967588557587024,16,12360,0.922454493575754
Corr,20,412.43126098256,22.2476830445645,288.009260325939,0.255730941772528,0.0228341668502937,0.028604683666664,0.947648653637437,16,12360,0.922454493575754
Corr,30,411.50593040688,21.3883397502702,287.017942468873,0.190168798760162,0.0166740228653363,0.0250642621204039,1.00770449816256,16,12360,0.922454493575754
Corr,40,410.243108679215,20.6130371504152,285.267601613398,0.130583379743704,0.052318453217529,0.0188130436702842,0.929892067001248,16,12360,0.922454493575754
